status,optimal,makespan,solve_time,strategy,Instance,Size
OPTIMAL,True,1231,7.543134689331055,DEFAULT,ta01,15x15
FEASIBLE,False,1488,120.00772166252136,FIXED_SEARCH,ta01,15x15
OPTIMAL,True,1231,6.68679666519165,NO_PRESOLVE,ta01,15x15
OPTIMAL,True,1244,62.578266859054565,DEFAULT,ta02,15x15
FEASIBLE,False,1480,120.00289869308472,FIXED_SEARCH,ta02,15x15
OPTIMAL,True,1244,46.39423441886902,NO_PRESOLVE,ta02,15x15
OPTIMAL,True,1218,26.46627163887024,DEFAULT,ta03,15x15
FEASIBLE,False,1418,120.00403046607971,FIXED_SEARCH,ta03,15x15
OPTIMAL,True,1218,32.397570848464966,NO_PRESOLVE,ta03,15x15
OPTIMAL,True,1175,57.139551639556885,DEFAULT,ta04,15x15
FEASIBLE,False,1464,120.00264024734497,FIXED_SEARCH,ta04,15x15
OPTIMAL,True,1175,23.968586921691895,NO_PRESOLVE,ta04,15x15
FEASIBLE,False,1224,120.10111141204834,DEFAULT,ta05,15x15
FEASIBLE,False,1475,120.00263667106628,FIXED_SEARCH,ta05,15x15
FEASIBLE,False,1227,119.9964063167572,NO_PRESOLVE,ta05,15x15
FEASIBLE,False,1240,120.06580066680908,DEFAULT,ta06,15x15
FEASIBLE,False,1366,120.00051856040955,FIXED_SEARCH,ta06,15x15
FEASIBLE,False,1246,120.02516078948975,NO_PRESOLVE,ta06,15x15
FEASIBLE,False,1230,120.05783653259277,DEFAULT,ta07,15x15
FEASIBLE,False,1392,120.00191688537598,FIXED_SEARCH,ta07,15x15
FEASIBLE,False,1227,120.01666307449341,NO_PRESOLVE,ta07,15x15
FEASIBLE,False,1217,120.11888408660889,DEFAULT,ta08,15x15
FEASIBLE,False,1396,120.00378394126892,FIXED_SEARCH,ta08,15x15
FEASIBLE,False,1217,120.00294351577759,NO_PRESOLVE,ta08,15x15
OPTIMAL,True,1274,109.24678564071655,DEFAULT,ta09,15x15
FEASIBLE,False,1495,120.00371098518372,FIXED_SEARCH,ta09,15x15
OPTIMAL,True,1274,79.9578845500946,NO_PRESOLVE,ta09,15x15
OPTIMAL,True,1241,24.242429494857788,DEFAULT,ta10,15x15
FEASIBLE,False,1444,119.99273872375488,FIXED_SEARCH,ta10,15x15
OPTIMAL,True,1241,31.065486192703247,NO_PRESOLVE,ta10,15x15
FEASIBLE,False,1399,120.08136296272278,DEFAULT,ta11,20x15
FEASIBLE,False,1698,119.99016547203064,FIXED_SEARCH,ta11,20x15
FEASIBLE,False,1392,120.00974607467651,NO_PRESOLVE,ta11,20x15
FEASIBLE,False,1390,120.06238174438477,DEFAULT,ta12,20x15
FEASIBLE,False,1802,120.00402021408081,FIXED_SEARCH,ta12,20x15
FEASIBLE,False,1371,120.00037360191345,NO_PRESOLVE,ta12,20x15
FEASIBLE,False,1361,120.07608103752136,DEFAULT,ta13,20x15
FEASIBLE,False,1690,119.99193286895752,FIXED_SEARCH,ta13,20x15
FEASIBLE,False,1354,119.99800539016724,NO_PRESOLVE,ta13,20x15
OPTIMAL,True,1345,20.713762998580933,DEFAULT,ta14,20x15
FEASIBLE,False,1723,120.00249886512756,FIXED_SEARCH,ta14,20x15
OPTIMAL,True,1345,54.89892888069153,NO_PRESOLVE,ta14,20x15
FEASIBLE,False,1370,120.04189276695251,DEFAULT,ta15,20x15
FEASIBLE,False,1827,120.00164413452148,FIXED_SEARCH,ta15,20x15
FEASIBLE,False,1385,120.00991368293762,NO_PRESOLVE,ta15,20x15
FEASIBLE,False,1375,120.0772967338562,DEFAULT,ta16,20x15
FEASIBLE,False,1801,120.00086283683777,FIXED_SEARCH,ta16,20x15
FEASIBLE,False,1410,120.0098328590393,NO_PRESOLVE,ta16,20x15
OPTIMAL,True,1462,85.66202402114868,DEFAULT,ta17,20x15
FEASIBLE,False,1790,120.00882005691528,FIXED_SEARCH,ta17,20x15
OPTIMAL,True,1462,106.29732656478882,NO_PRESOLVE,ta17,20x15
FEASIBLE,False,1418,120.0507562160492,DEFAULT,ta18,20x15
FEASIBLE,False,1826,120.00925350189209,FIXED_SEARCH,ta18,20x15
FEASIBLE,False,1419,120.00156378746033,NO_PRESOLVE,ta18,20x15
FEASIBLE,False,1347,120.09698820114136,DEFAULT,ta19,20x15
FEASIBLE,False,2009,120.00989508628845,FIXED_SEARCH,ta19,20x15
FEASIBLE,False,1368,119.99320411682129,NO_PRESOLVE,ta19,20x15
FEASIBLE,False,1376,120.04955863952637,DEFAULT,ta20,20x15
FEASIBLE,False,1838,119.99962401390076,FIXED_SEARCH,ta20,20x15
FEASIBLE,False,1373,120.0258276462555,NO_PRESOLVE,ta20,20x15
FEASIBLE,False,1670,120.04279446601868,DEFAULT,ta21,20x20
FEASIBLE,False,2074,119.99978947639465,FIXED_SEARCH,ta21,20x20
FEASIBLE,False,1689,119.99307465553284,NO_PRESOLVE,ta21,20x20
FEASIBLE,False,1645,120.05551958084106,DEFAULT,ta22,20x20
FEASIBLE,False,2026,120.01827239990234,FIXED_SEARCH,ta22,20x20
FEASIBLE,False,1648,120.02608728408813,NO_PRESOLVE,ta22,20x20
FEASIBLE,False,1597,120.08020496368408,DEFAULT,ta23,20x20
FEASIBLE,False,1957,120.005610704422,FIXED_SEARCH,ta23,20x20
FEASIBLE,False,1597,120.01046657562256,NO_PRESOLVE,ta23,20x20
FEASIBLE,False,1657,120.06649661064148,DEFAULT,ta24,20x20
FEASIBLE,False,2057,120.00272274017334,FIXED_SEARCH,ta24,20x20
FEASIBLE,False,1665,119.98659038543701,NO_PRESOLVE,ta24,20x20
FEASIBLE,False,1621,120.07651972770691,DEFAULT,ta25,20x20
FEASIBLE,False,2082,119.9971718788147,FIXED_SEARCH,ta25,20x20
FEASIBLE,False,1642,120.01040649414062,NO_PRESOLVE,ta25,20x20
FEASIBLE,False,1662,120.07053732872009,DEFAULT,ta26,20x20
FEASIBLE,False,2290,120.00739455223083,FIXED_SEARCH,ta26,20x20
FEASIBLE,False,1735,119.99807453155518,NO_PRESOLVE,ta26,20x20
FEASIBLE,False,1691,120.06981015205383,DEFAULT,ta27,20x20
FEASIBLE,False,2022,120.00159502029419,FIXED_SEARCH,ta27,20x20
FEASIBLE,False,1717,120.02843689918518,NO_PRESOLVE,ta27,20x20
FEASIBLE,False,1641,120.08454036712646,DEFAULT,ta28,20x20
FEASIBLE,False,2021,119.99355268478394,FIXED_SEARCH,ta28,20x20
FEASIBLE,False,1660,120.02374029159546,NO_PRESOLVE,ta28,20x20
FEASIBLE,False,1647,120.08436727523804,DEFAULT,ta29,20x20
FEASIBLE,False,1991,119.99844598770142,FIXED_SEARCH,ta29,20x20
FEASIBLE,False,1656,120.00864028930664,NO_PRESOLVE,ta29,20x20
FEASIBLE,False,1612,120.10395050048828,DEFAULT,ta30,20x20
FEASIBLE,False,1942,119.99894642829895,FIXED_SEARCH,ta30,20x20
FEASIBLE,False,1623,120.00803780555725,NO_PRESOLVE,ta30,20x20
